 20 1.862e-04 0.00 1.273e-04 0.00 7.174e-04 0.00 -7.692e-09
 40 4.632e-05 2.01 3.188e-05 2.00 1.806e-04 1.99 -2.276e-10
 80 1.155e-05 2.00 7.979e-06 2.00 4.529e-05 2.00 -6.929e-12
160 2.884e-06 2.00 1.996e-06 2.00 1.134e-05 2.00 -2.138e-13
 20 4.971e-06 0.00 2.857e-06 0.00 2.306e-05 0.00 -7.221e-07
 40 7.490e-07 2.73 3.807e-07 2.91 4.689e-06 2.30 -7.404e-08
 80 1.121e-07 2.74 5.019e-08 2.92 9.515e-07 2.30 -7.560e-09
160 1.671e-08 2.75 6.574e-09 2.93 1.930e-07 2.30 -7.700e-10
 20 1.419e-09 0.00 9.819e-10 0.00 7.919e-09 0.00 2.529e-13
 40 8.827e-11 4.01 6.148e-11 4.00 4.977e-10 3.99 3.413e-15
 80 5.504e-12 4.00 3.846e-12 4.00 3.119e-11 4.00 4.969e-17
160 3.435e-13 4.00 2.407e-13 4.00 1.950e-12 4.00 1.326e-18
 20 2.953e-11 0.00 1.227e-11 0.00 2.363e-10 0.00 2.728e-12
 40 1.115e-12 4.73 4.015e-13 4.93 1.229e-11 4.26 7.099e-14
 80 4.058e-14 4.78 1.299e-14 4.95 6.115e-13 4.33 1.839e-15
160 2.511e-15 4.01 6.867e-16 4.24 6.250e-14 3.29 4.806e-17
